,symbol,index,AnnualReturn,AnnualVolatility,SharpeRatio,StratCumReturn,BenchCumReturn,Beta,MaximumDrawdown,MaximumDrawdownStart,MaximumDrawdownEnd
379,512610.SH,000933.SH,-0.868461856,0.282193997,-3.07753484,1.114361322,1.122974868,0.999798127,0.888706973,20171225,20161230
589,165707.OF,399007.SZ,-5.948756422,1.933406301,-3.076826853,1.06542121,1.124434556,0.994709828,7.069031368,20171122,20161230
360,161507.OF,000918.SH,-8.669834777,2.943257093,-2.94566003,1.182228421,1.26824575,0.978901807,10.41592564,20171226,20170109
505,159918.SZ,399624.SZ,-0.674627829,0.237565354,-2.839756796,0.875025015,0.88171603,0.999905468,0.679551221,20171221,20161230
69,161910.OF,000958.SH,-7.571524662,2.734514214,-2.768873762,0.97542064,1.050537554,0.990607149,9.03849691,20171211,20170116
393,370023.OF,000806.SH,-3.833608482,1.389704024,-2.758579105,1.201719044,1.239746106,0.996653793,4.278587951,20171221,20161230
385,410010.OF,399005.SZ,-7.931932197,2.999826596,-2.644130233,1.073529412,1.152223149,0.99468942,11.09735944,20171113,20170116
2,512010.SH,000913.SH,-1.684277069,0.650226366,-2.590293406,1.228378686,1.245084185,0.999521319,1.76488234,20171225,20170113
421,163209.OF,000958.SH,-6.727442267,2.711598549,-2.48098756,0.983797194,1.050537554,0.990123432,8.415958283,20171121,20170116
17,000376.OF,000814.SH,-3.714994008,1.542610307,-2.408251774,1.166524338,1.203374633,0.997594616,4.096749933,20171222,20170118
528,501002.SH,930659.CSI,-8.577858313,3.600635855,-2.38231764,0.938755981,1.023860428,0.977483667,9.406689616,20171227,20161231
288,164811.OF,399330.SZ,-4.082746018,1.749237171,-2.334015127,1.206899178,1.247397959,0.996210742,4.649766151,20171121,20170116
225,502026.SH,399429.SZ,-4.402071443,1.999844681,-2.201206667,0.92664437,0.970311288,0.996396334,5.787908422,20171010,20161230
353,160219.OF,399394.SZ,-2.910774875,1.33547053,-2.1795875,1.11199095,1.140862945,0.998226031,3.239689235,20171116,20161230
187,150248.SZ,399971.SZ,-45.24423286,21.93386028,-2.062757411,0.3625,0.812225029,0.928226369,90.88047366,20171127,20170104
189,512120.SH,000814.SH,-1.267878747,0.636469557,-1.992049317,1.190799397,1.203374633,0.998889871,1.55128804,20171221,20170718
159,050021.OF,399703.SZ,-3.109377542,1.595948329,-1.94829462,1.23915415,1.269996342,0.999339267,3.673263424,20171121,20170119
388,168001.OF,399812.SZ,-3.009677511,1.56028861,-1.928923592,1.042467647,1.072320781,0.992530187,3.264667381,20171211,20161230
228,206005.OF,000049.SH,-2.573921561,1.341104917,-1.919254435,1.162650602,1.188180987,0.996272086,2.89879755,20171226,20161230
8,161227.SZ,399330.SZ,-5.167971693,2.69538094,-1.917343711,1.196131927,1.247397959,0.991110237,6.494299126,20171121,20161230
328,519032.OF,000064.SH,-3.915186156,2.048323193,-1.911410353,1.123943662,1.162780059,0.991332297,4.816833505,20171113,20161230
238,001713.OF,399612.SZ,-4.578930721,2.442714715,-1.874525377,1.05362776,1.099049397,0.991078532,5.51815529,20171121,20170116
147,163821.SZ,000984.SH,-1.807777118,0.967012624,-1.869445211,1.042283298,1.060213825,0.998354843,2.129887929,20171122,20161230
152,450008.OF,000300.SH,-7.140860715,3.822093435,-1.868311394,1.134930448,1.205773436,0.941086904,9.537747479,20171221,20170413
283,161223.OF,000958.SH,-4.889646258,2.757283726,-1.773356224,1.002033071,1.050537554,0.989613028,6.698903029,20171122,20170118
602,150304.SZ,399673.SZ,-55.47541635,31.52633431,-1.759653241,0.301101591,0.852884836,0.885532501,133.6828916,20171218,20170104
300,160221.OF,399395.SZ,-3.60110813,2.049084746,-1.757422741,1.088043327,1.123763778,0.998165293,4.080286394,20170918,20161230
295,150308.SZ,399804.SZ,-37.84330261,21.63954071,-1.748803411,0.309939148,0.685938141,0.942676871,67.32123191,20170601,20170104
386,161812.OF,399330.SZ,-2.971427914,1.74907769,-1.698854162,1.217924271,1.247397959,0.996312034,3.389663906,20171121,20161230
417,150234.SZ,399810.SZ,-40.87105571,24.18393593,-1.690008435,0.362546125,0.768697521,0.92903337,76.2842806,20171127,20170224
594,512230.SH,000933.SH,-1.575384305,0.934708047,-1.685429274,1.107349492,1.122974868,0.99786798,2.240292746,20171122,20170718
582,160807.SZ,000300.SH,-2.486269774,1.483023527,-1.676487075,1.181112549,1.205773436,0.994097575,2.700538848,20171122,20161230
73,519027.OF,000063.SH,-2.90813287,1.74068839,-1.670679765,1.192949907,1.221795693,0.996122733,3.274977435,20171122,20161230
115,160420.OF,399673.SZ,-16.38793206,9.912651968,-1.653233878,0.690236427,0.852884836,0.864461865,22.36374636,20171116,20170116
140,001243.OF,h30537.CSI,-2.262754781,1.37022669,-1.651372577,1.108280982,1.130724653,0.99756851,3.11998617,20171121,20170424
426,000656.OF,000300.SH,-6.56910007,4.065560864,-1.61579184,1.140604371,1.205773436,0.942105382,8.933108112,20171122,20161230
106,590007.OF,000009.SH,-5.556760024,3.44476795,-1.613101406,0.936508836,0.991632543,0.969402597,6.606715423,20170920,20161230
