,symbol,index,name,AnnualReturn,AnnualVolatility,SharpeRatio,StratCumReturn,BenchCumReturn,Beta,MaximumDrawdown,MaximumDrawdownStart,MaximumDrawdownEnd
31,161507.OF,000918.SH,银河沪深300成长,-10.194595764266722,2.9204069002424236,-3.490813476512628,1.2260107160253308,1.3303345326782252,0.9798674829306968,11.858431737182928,20180110,20170109
34,410010.OF,399005.SZ,华富中小板,-8.52958808018256,2.9748684791286872,-2.867215186158684,1.098310291858676,1.1856147886790611,0.9949056773108796,11.089741424860442,20171113,20170116
12,450008.OF,000300.SH,国富沪深300,-7.303833386780512,3.764070452149484,-1.940408257398486,1.1842145593869737,1.258984787150316,0.9414970444658498,10.044846441101503,20180110,20170413
35,150121.SZ,000918.SH,银河优先,-27.35418061059194,15.768662933832989,-1.734717821376044,1.0510907924286175,1.3303345326782252,0.023513369708514205,43.63743581900367,20171121,20170508
9,590007.OF,000009.SH,中邮上证380,-5.384080210687426,3.360911423941178,-1.6019702787566403,0.968284316482034,1.0234154211242854,0.9698311275677302,6.2831747907140425,20180108,20170113
28,F161604.OF,399004.SZ,融通深证100H,-32.73749712408349,20.65439416873869,-1.5850136710198497,1.0,1.3339200958372548,,60.05690455587541,20171121,20170116
29,165806.SZ,399330.SZ,东吴100,-4.717779874803696,3.007897148487944,-1.5684644926025155,1.2645985401459856,1.312911068167638,0.9819969669488967,5.861938791868777,20180108,20170523
32,161607.SZ,399313.SZ,融通巨潮,-3.3525579831548358,2.6870405132543738,-1.2476767531481798,1.2933294579276249,1.327667339737445,0.9746203668938332,4.129004796885742,20171122,20170222
3,161035.SZ,930791.CSI,医药增强,-4.18149260102092,4.514693671470764,-0.9261963059519615,1.0605095541401275,1.1033331382428102,0.9395237311714898,6.471855899273246,20171106,20170109
47,166007.SZ,000300.SH,中欧300,-1.0844556260436788,1.2654969596337344,-0.8569405226841056,1.2478743218074335,1.258984787150316,0.9939494421446925,2.382385418793405,20171108,20170807
4,001884.OF,000300.SH,中欧沪深300E,-0.6899791206812167,1.27265087920245,-0.5421589942354148,1.251915466868738,1.258984787150316,0.9937998061553244,2.343030029464901,20171108,20170807
2,233010.OF,399007.SZ,大摩深证300,-1.5638185960464401,2.9178716715975153,-0.5359449530521196,1.1567529741077678,1.1727736539660634,0.9855819909707495,4.59389528934277,20171013,20170601
37,001016.OF,000300.SH,华夏沪深300C,-1.2318552691583662,2.4610256213155,-0.5005454874134543,1.2463644140290835,1.258984787150316,0.9780723941609172,3.3965935362513293,20171122,20170718
27,003579.OF,000300.SH,中金沪深300C,-1.990988824692963,4.902483081938648,-0.4061184488383063,1.238589010563038,1.258984787150316,0.8984003507622849,7.288526073656771,20170601,20170210
16,310318.OF,000300.SH,申万菱信沪深300,-0.7520166504318748,4.733197800041624,-0.15888130650809937,1.2512799080555859,1.258984787150316,0.9116936224972829,7.376310123044267,20171121,20170411
40,150139.SZ,000842.SH,中证800B,-1.3431511937394225,14.979023147601422,-0.08966881087666255,1.0080193482688384,1.02177975913301,0.955329452550566,23.88545818487324,20170523,20170306
22,161825.OF,000842.SH,银华中证800等权重,0.7617092844937057,3.816042177905081,0.19960714504258087,1.029585401851602,1.02177975913301,0.9570349902898762,4.9707428631927435,20170627,20170103
25,150122.SZ,000918.SH,银河进取,3.6609015534281975,8.585542402752768,0.42640306013215995,1.3678629690048916,1.3303345326782252,0.9764607039726569,6.421943153341848,20171227,20171121
6,001027.OF,399814.SZ,前海开源中证大农业,1.539049140858495,3.316254362174466,0.4640926095455903,1.0222496909765137,1.006476730570805,0.962256593923339,3.647689676908962,20170620,20170119
39,002510.OF,000905.SH,申万菱信中证500,3.089658357286229,4.061937992560266,0.7606365146255709,1.0451460885956627,1.013475731551758,0.9597835580053315,5.2557082338384,20170913,20170601
